char,jyutping
詞綴,ci4 zeoi6
哈哈哈哈哈,haa1 haa1 haa1 haa1 haa1
陽江話係噉,joeng4 gong1 waa6 hai6 gam2
通押,tung1 aap3
菸酰胺,jin1 sin1 on1
衛衣,wai6 ji1
頭音法則,tau4 jam1 faat3 zak1
還押,waan4 aap3
程班長,cing4 baan1 zoeng2
渣哥,zaa1 go1
播緊歌,bo3 gan2 go1
做咩事,zou6 me1 si6
柒撚咗,cat1 nan2 zo2
好撚煩,hou2 nan2 faan4
流心,lau4 sam1
馬爾可夫,maa5 ji5 ho2 fu1
腦閉塞,nou5 bai3 sak1
柒咗,cat1 zo2
我柒咗,ngo5 cat1 zo2
柒撚咗,cat1 nan2 zo2
我柒撚咗,ngo5 cat1 nan2 zo2
柒到冇眼睇,cat1 dou2 mou5 ngaan5 tai2
柒出國際,cat1 ceot1 gwok3 zai3
媽啊好柒啊,maa1 aa2 hou2 cat1 aa2
好柒啊,hou2 cat1 aa2
柒到搵窿捐,cat1 dou2 wan2 lung1 gyun1
柒到甩轆,cat1 dou2 lat1 luk1
柒到仆街,cat1 dou2 puk1 gaai1
柒事,cat1 si6
一人一件,jat1 jan4 jat1 gin6
一人一個,jat1 jan4 jat1 go3
柒到嘔,cat1 dou3 au2
關你撚事,gwaan1 nei5 nan2 si6
柒到爆,cat1 dou2 baau3
柒味濃,cat1 mei6 nung4
柒撚到癲,cat1 nan2 dou2 din1
有陣柒味,jau5 zan6 cat1 mei6
柒就,cat6 zau6
你去望望,nei5 heoi3 mong6 mong6
漢藏語,hon3 zong6 jyu5
維特比,wai4 dak6 bei2
求導,kau4 dou6
社聯,se5 lyun4
桂柳話,gwai3 lau5 waa6
區報,keoi1 bou3
有架咩,jau5 gaa3 me1
食得,sik6 dak1
食蟹,sik6 haai5
蟹腳,haai5 goek3
軟殼蟹,jyun5 hok3 haai5
實色,sat6 sik1
概率圖模型,koi3 leot2 tou4 mou4 jing4
好𢛴憎,hou2 mang2 zang1
戴返個,daai3 faan2 go3
簡轉繁,gaan2 zyun2 faan4
刁草,diu1 cou2
穿搭,cyun1 daap3
無檳城豔咩,mou4 ban1 sing4 jim6 me1
交叉熵,gaau1 caa1 soeng1
撈埋一碟,laau4 maai4 jat1 dip6
跌咗嘢,dit3 zo2 je5
試下唔好搵,si3 haa5 m4 hou2 wan2
墮海,do6 hoi2
墮咗海,do6 zo2 hoi2
落架,lok6 gaa3
撞色,zong2 sik1
原片,jyun4 pin2
馬照跑,maa5 ziu3 paau2
舞照跳,mou5 ziu3 tiu3
抗爭歌,kong3 zang1 go1
平行時空,ping4 hang4 si4 hung1
數碼鴻溝,sou3 maa5 hung4 kau1
閪的,hai1 dik1
